LSOA Code,WIMD 2019 
W01001865,1373
W01001866,304
W01001867,103
W01001868,455
W01001869,416
W01001870,535
W01001871,54
W01001872,335
W01001873,162
W01001874,12
W01001875,498
W01001876,74
W01001877,1342
W01001878,965
W01001879,180
W01001880,61
W01001881,165
W01001882,1232
W01001883,126
W01001884,13
W01001885,402
W01001886,97
W01001887,1864
W01001888,1483
W01001889,1323
W01001890,1681
W01001891,1322
W01001892,1771
W01001893,1265
W01001894,1732
W01001895,345
W01001896,1793
W01001897,1404
W01001898,502
W01001899,667
W01001900,485
W01001901,1579
W01001902,515
W01001903,1479
W01001904,1474
W01001905,1434
W01001906,1038
W01001907,1064
